;Pelvis_extension;Pelvis_lateral_flexion_rotation;Pelvis_axial_rotation;LeftHip_flexion;LeftHip_adduction;LeftHip_external_rotation;LeftKnee_flexion;LeftKnee_adduction;LeftKnee_external_rotation;LeftAnkle_dorsiflexion;LeftAnkle_inversion;LeftAnkle_internal_rotation;RightHip_flexion;RightHip_adduction;RightHip_external_rotation;RightKnee_flexion;RightKnee_adduction;RightKnee_external_rotation;RightAnkle_dorsiflexion;RightAnkle_inversion;RightAnkle_internal_rotation;Thorax_extension;Thorax_lateral_flexion_rotation;Thorax_axial_rotation;LeftScapula_protraction;LeftScapula_medial_rotation;LeftScapula_posterior_tilt;LeftShoulder_flexion;LeftShoulder_abduction;LeftShoulder_external_rotation;LeftElbow_flexion;LeftElbow_abduction;LeftElbow_pronation;LeftWrist_flexion;LeftWrist_abduction;LeftWrist_pronation;Neck_flexion;Neck_left-ward_tilt;Neck_right-ward_rotation;RightScapula_protraction;RightScapula_medial_rotation;RightScapula_posterior_tilt;RightShoulder_flexion;RightShoulder_abduction;RightShoulder_external_rotation;RightElbow_flexion;RightElbow_abduction;RightElbow_pronation;RightWrist_flexion;RightWrist_abduction;RightWrist_pronation;
LeftAnkle_inversion;0,150502799;-0,350461966;0,169669762;0,146074364;-0,52662349;0,077946562;0,119595766;0,160134668;-0,07458147;-0,198973825;1;0,081749038;0,147661807;-0,096876675;-0,313769007;-0,213300076;-0,300643733;0,488928428;0,311831059;-0,079729661;0,213979099;-0,190827844;-0,088950956;0,024226714;0,066139157;0,042889223;-0,30571426;0,08608508;0,215453044;0,068521164;0,122095528;-0,121459375;0,099048758;-0,177372258;-0,038502484;0,181352187;-0,020722707;-0,066147163;-0,028019735;0,128574607;0,275174288;0,012045653;0,016471283;0,197921057;-0,212719956;-0,036955937;-0,061726466;-0,047623305;-0,176937634;0,142307449;0,178045858;
LeftAnkle_internal_rotation;-0,243484441;-0,439867419;0,313535983;-0,480652558;-0,39672817;-0,696916964;0,592228256;0,624064621;-0,489953706;-0,440222786;0,081749038;1;-0,420071805;0,562603425;0,076593733;0,484805889;0,338739347;-0,351205218;-0,530147558;-0,064788544;-0,174855664;0,296471403;-0,337509403;-0,011710562;0,259811039;-0,38938438;0,112111641;-0,076991752;-0,288723411;0,295549372;-0,046127849;0,247525611;-0,068783963;0,21533645;0,066474895;-0,323232505;-0,00425392;-0,121945988;-0,039040528;0,137095022;-0,005245317;-0,173885319;-0,116149503;-0,290089935;0,120612366;-0,322472985;0,295953032;-0,194009485;0,311777874;-0,11497948;-0,205297133;
RightHip_flexion;0,654999684;0,355886384;-0,368928773;0,309538932;-0,051112277;0,11640472;-0,34498119;-0,418564276;0,338938772;0,259412406;0,147661807;-0,420071805;1;-0,865634936;-0,205328969;-0,970926535;-0,799059757;0,596455757;0,511790343;0,409534578;0,364604395;-0,64452249;0,473710652;-0,092747608;-0,472262056;0,562532481;-0,195393974;0,227843799;0,603210636;-0,530819811;0,25018834;-0,542258171;0,214721129;-0,542992607;0,023042057;0,564107678;-0,003248811;0,210305343;-0,000244285;-0,090702417;0,094507059;0,239294067;0,178523206;0,445206809;-0,52375892;0,175197929;-0,561798621;-0,020038959;-0,583295073;0,350110924;0,320367408;
RightHip_adduction;-0,603609782;-0,591287207;0,315188719;-0,449455745;-0,169141391;-0,152763868;0,525237208;0,592895741;-0,463001405;-0,394688544;-0,096876675;0,562603425;-0,865634936;1;0,236516467;0,887418744;0,698973782;-0,540717837;-0,542347048;-0,47392134;-0,358661188;0,515664896;-0,658936581;0,008634804;0,596934239;-0,737822428;0,108972732;-0,203882397;-0,633455368;0,585405065;-0,194472482;0,532141235;-0,162227303;0,531723859;0,042186943;-0,60573377;0,006344927;-0,221538173;-0,037002531;0,271661229;-0,041290846;-0,199897432;-0,202304249;-0,537660637;0,393614353;-0,354892173;0,610816685;-0,092183925;0,665217633;-0,304571303;-0,270645725;
RightHip_external_rotation;-0,082052034;0,381774095;-0,045589353;-0,630938841;0,668806539;-0,060338155;0,482418921;0,303618658;-0,229353466;-0,508881763;-0,313769007;0,076593733;-0,205328969;0,236516467;1;0,32216234;0,054785692;-0,201138342;-0,35616439;0,225576777;-0,904741363;0,348217301;-0,055308849;0,394968827;0,26576897;-0,3311546;0,410587792;-0,193893155;-0,580821838;0,339368202;-0,402234691;0,608441188;-0,349625685;0,668613091;-0,073076648;-0,644453927;-0,011010066;-0,02342684;-0,013971833;0,251826457;-0,666060454;-0,016710536;-0,033554423;-0,509453362;0,507936342;-0,094360915;0,543853077;0,04615167;0,594752255;-0,483324661;-0,307139279;
RightKnee_flexion;-0,714491474;-0,291671953;0,355947216;-0,376582462;0,118507313;-0,218607033;0,429541195;0,490415701;-0,400159764;-0,332366379;-0,213300076;0,484805889;-0,970926535;0,887418744;0,32216234;1;0,806291343;-0,657915267;-0,618312907;-0,336806484;-0,468123963;0,644096315;-0,464716443;0,133326965;0,457865715;-0,555198969;0,248143117;-0,20477764;-0,627420088;0,51474328;-0,278062986;0,580734053;-0,248707776;0,584627272;-0,046963268;-0,591285326;-0,001306761;-0,202361538;-0,007339123;0,133859735;-0,144504798;-0,233752482;-0,139245681;-0,457158185;0,523561024;-0,192998283;0,586268875;-0,004008888;0,605154488;-0,398215672;-0,322219423;
RightKnee_adduction;-0,547019979;-0,265416378;0,304385695;-0,071204418;0,07429991;-0,16875045;0,026617711;0,190062854;-0,190015092;-0,006249193;-0,300643733;0,338739347;-0,799059757;0,698973782;0,054785692;0,806291343;1;-0,863432768;-0,533461092;-0,354678369;-0,184147576;0,410068841;-0,37565459;-0,001922977;0,26350649;-0,307478871;0,132599804;-0,093219401;-0,378375002;0,312906358;-0,131415407;0,329609196;-0,175669598;0,334448187;-0,096585761;-0,318686005;-0,006620426;-0,161626452;0,014033385;0,027661057;0,065744461;-0,185138517;-0,034213819;-0,19055417;0,321237721;0,011586155;0,333053074;0,086451144;0,324944352;-0,302610374;-0,236427083;
RightKnee_external_rotation;0,440863868;0,063811167;-0,168783336;0,204288547;-0,250761675;0,254046619;-0,076374488;-0,150548887;0,173166524;0,077177697;0,488928428;-0,351205218;0,596455757;-0,540717837;-0,201138342;-0,657915267;-0,863432768;1;0,590686151;0,184014997;0,2204733;-0,331671754;0,258562779;-0,015987574;-0,188761924;0,284009444;-0,209235405;0,063658045;0,426251926;-0,233865423;0,197848429;-0,366012614;0,252846335;-0,380434673;0,094818271;0,358772659;0,007758853;0,100473602;-0,027711209;-0,064590843;0,131292046;0,07834838;-0,030236282;0,260193148;-0,316535719;0,031758903;-0,347328899;-0,044402917;-0,349848091;0,355452466;0,230164912;
RightAnkle_dorsiflexion;0,293966372;0,142208624;-0,232700556;0,546058745;-0,126023172;0,306692326;-0,392667592;-0,364563089;0,302914057;0,239672697;0,311831059;-0,530147558;0,511790343;-0,542347048;-0,35616439;-0,618312907;-0,533461092;0,590686151;1;-0,245730412;0,412666366;-0,418028528;0,337392812;-0,223079171;-0,323930391;0,428769644;-0,252667895;0,181788426;0,479613372;-0,303814177;0,243930515;-0,387679612;0,259693488;-0,402145515;-0,059122076;0,4397009;-0,008803269;0,148827638;0,028967923;-0,215250252;0,224640502;0,172400292;0,102357695;0,415948706;-0,24638785;0,157802529;-0,38870302;0,010101908;-0,422307087;0,273603056;0,167680751;
RightAnkle_inversion;0,368489261;0,453007385;-0,246038338;-0,185485598;0,209742704;-0,172776519;0,001171063;-0,077989105;0,064518022;0,071207443;-0,079729661;-0,064788544;0,409534578;-0,47392134;0,225576777;-0,336806484;-0,354678369;0,184014997;-0,245730412;1;-0,121454019;-0,130268084;0,385114763;0,171585392;-0,306870693;0,330874634;0,132904858;0,08977882;0,159203373;-0,295491027;0,002167535;-0,068809796;-0,005521821;-0,072828609;-0,108499253;0,116602017;-0,018225447;0,02835226;-0,022352629;0,028957984;-0,260312911;0,054318988;0,137238907;0,108382848;-0,123975507;0,084525777;-0,162755155;-0,062648377;-0,195549836;-0,037034826;0,07327615;
