;Pelvis_extension;Pelvis_lateral_flexion_rotation;Pelvis_axial_rotation;LeftHip_flexion;LeftHip_adduction;LeftHip_external_rotation;LeftKnee_flexion;LeftKnee_adduction;LeftKnee_external_rotation;LeftAnkle_dorsiflexion;LeftAnkle_inversion;LeftAnkle_internal_rotation;RightHip_flexion;RightHip_adduction;RightHip_external_rotation;RightKnee_flexion;RightKnee_adduction;RightKnee_external_rotation;RightAnkle_dorsiflexion;RightAnkle_inversion;RightAnkle_internal_rotation;Thorax_extension;Thorax_lateral_flexion_rotation;Thorax_axial_rotation;LeftScapula_protraction;LeftScapula_medial_rotation;LeftScapula_posterior_tilt;LeftShoulder_flexion;LeftShoulder_abduction;LeftShoulder_external_rotation;LeftElbow_flexion;LeftElbow_abduction;LeftElbow_pronation;LeftWrist_flexion;LeftWrist_abduction;LeftWrist_pronation;Neck_flexion;Neck_left-ward_tilt;Neck_right-ward_rotation;RightScapula_protraction;RightScapula_medial_rotation;RightScapula_posterior_tilt;RightShoulder_flexion;RightShoulder_abduction;RightShoulder_external_rotation;RightElbow_flexion;RightElbow_abduction;RightElbow_pronation;RightWrist_flexion;RightWrist_abduction;RightWrist_pronation;
LeftElbow_flexion;0,214255288;-0,122636333;0,002659057;0,388054437;-0,337162508;-0,079846218;-0,332555965;-0,215745514;0,190334182;0,274577735;0,122095528;-0,046127849;0,25018834;-0,194472482;-0,402234691;-0,278062986;-0,131415407;0,197848429;0,243930515;0,002167535;0,315964716;-0,336557448;0,113561751;-0,182484728;-0,216862094;0,293483438;-0,112324049;0,056472926;0,450722825;-0,311692912;1;-0,518997583;0,862386834;-0,552060959;-0,217277371;0,357354552;0,017742389;0,042842388;0,01039147;-0,242826213;0,293269329;-0,011808751;-0,037763526;0,286087325;-0,361377331;0,24159412;-0,478967178;0,004126542;-0,440189298;0,358384021;0,147134983;
LeftElbow_abduction;-0,314541076;-0,111461487;0,207401478;-0,547545187;0,314702163;0,057259283;0,523572587;0,389393356;-0,290987928;-0,546504095;-0,121459375;0,247525611;-0,542258171;0,532141235;0,608441188;0,580734053;0,329609196;-0,366012614;-0,387679612;-0,068809796;-0,558012979;0,315320818;-0,392955002;0,256152866;0,420745287;-0,567403285;0,162559526;0,092794733;-0,840102188;0,563921339;-0,518997583;1;-0,425536827;0,929688692;-0,311213837;-0,762737033;-0,002841596;-0,141487585;-0,011228534;0,489256595;-0,476698899;0,203756295;0,219813922;-0,557427441;0,648844175;-0,373856359;0,969035121;-0,143089626;0,841529649;-0,788960611;-0,296749987;
LeftElbow_pronation;0,220462059;-0,126049504;0,065132996;0,269689458;-0,306598596;-0,02080773;-0,237592681;-0,173600663;0,179475588;0,267991323;0,099048758;-0,068783963;0,214721129;-0,162227303;-0,349625685;-0,248707776;-0,175669598;0,252846335;0,259693488;-0,005521821;0,300171493;-0,162969601;0,005192973;-0,026333467;-0,028808611;0,20672401;-0,126003088;-0,065870111;0,416555198;-0,166635915;0,862386834;-0,425536827;1;-0,53235549;-0,051397979;0,334234519;0,019080828;0,038526935;0,027771913;-0,310042785;0,335778899;-0,123165715;-0,207553996;0,226903927;-0,215212878;0,188209654;-0,388266885;0,1147489;-0,399198478;0,469397706;0,141853283;
LeftWrist_flexion;-0,32352549;-0,064758972;0,171037924;-0,5802452;0,379758373;0,075661429;0,531338797;0,391547761;-0,295205378;-0,553788015;-0,177372258;0,21533645;-0,542992607;0,531723859;0,668613091;0,584627272;0,334448187;-0,380434673;-0,402145515;-0,072828609;-0,600463752;0,331649732;-0,341712814;0,276196896;0,404910234;-0,581903851;0,265726372;0,005090553;-0,853195161;0,497427148;-0,552060959;0,929688692;-0,53235549;1;-0,222253612;-0,748500912;-0,009143046;-0,12297145;-0,01565371;0,53824386;-0,57963415;0,150352238;0,17725192;-0,627041899;0,5728819;-0,319025429;0,90784361;-0,102935278;0,901278118;-0,76572566;-0,270845035;
LeftWrist_abduction;0,061610781;-0,072045277;0,057303524;-0,227642554;-0,073971769;0,129812583;0,108301973;0,0287116;-0,02382721;0,094954996;-0,038502484;0,066474895;0,023042057;0,042186943;-0,073076648;-0,046963268;-0,096585761;0,094818271;-0,059122076;-0,108499253;0,120774905;0,360101949;-0,078870325;0,166350397;0,371366689;-0,192276652;0,24879195;-0,699345356;0,121473089;0,234460604;-0,217277371;-0,311213837;-0,051397979;-0,222253612;1;0,089292434;-0,00997599;0,043322753;-0,01059988;-0,300858727;0,070436996;-0,579961235;-0,755485135;-0,195194838;0,009044939;-0,052539222;-0,239373771;0,236220455;-0,041576921;0,671878722;0,003632833;
LeftWrist_pronation;0,303140266;0,180370504;-0,152521142;0,623473651;-0,262234898;-0,026279383;-0,552430392;-0,411003701;0,317818411;0,556334236;0,181352187;-0,323232505;0,564107678;-0,60573377;-0,644453927;-0,591285326;-0,318686005;0,358772659;0,4397009;0,116602017;0,61053806;-0,396284316;0,397254955;-0,174415785;-0,573594873;0,707297392;-0,176905927;0,203954888;0,804645116;-0,679120656;0,357354552;-0,762737033;0,334234519;-0,748500912;0,089292434;1;-0,011448569;0,129738244;0,015148168;-0,296109774;0,514576078;-0,066783827;0,140507694;0,725376161;-0,674869859;0,340057701;-0,805801971;0,064340401;-0,800687342;0,558812141;0,423987955;
Neck_flexion;0,023468868;-0,017165989;0,000953362;-0,000277594;-0,005708324;0,017806517;-0,011554352;-0,022717586;0,011545947;0,009317428;-0,020722707;-0,00425392;-0,003248811;0,006344927;-0,011010066;-0,001306761;-0,006620426;0,007758853;-0,008803269;-0,018225447;0,008419319;0,014563036;-0,016657798;-0,01088765;0,023198487;-0,030395944;-0,003522909;-0,010593135;-0,026728307;0,021004925;0,017742389;-0,002841596;0,019080828;-0,009143046;-0,00997599;-0,011448569;1;-0,019486322;0,004752964;-0,001802563;-0,010707607;0,011684664;-0,010645748;-0,025228605;0,000720122;0,001389249;0,000553264;0,010379738;-0,005954428;0,004229179;-0,005807007;
Neck_left-ward_tilt;0,113628959;0,15282383;-0,06147133;0,124541413;0,092141295;0,021365683;-0,140576837;-0,185260402;0,135873194;0,088870958;-0,066147163;-0,121945988;0,210305343;-0,221538173;-0,02342684;-0,202361538;-0,161626452;0,100473602;0,148827638;0,02835226;0,049721126;-0,124808527;0,170109773;-0,022118281;-0,137695599;0,160468137;-0,018325945;0,041399702;0,147686994;-0,152969365;0,042842388;-0,141487585;0,038526935;-0,12297145;0,043322753;0,129738244;-0,019486322;1;-0,003564336;-0,076900319;0,017189927;0,062317565;0,039923654;0,106956752;-0,100806544;0,140040196;-0,158680699;0,096535856;-0,144564981;0,082656026;0,03500203;
Neck_right-ward_rotation;0,000717266;0,039414495;0,023105223;0,035223815;0,049262906;0,017289739;-0,047216442;-0,056336238;0,034306141;0,037766896;-0,028019735;-0,039040528;-0,000244285;-0,037002531;-0,013971833;-0,007339123;0,014033385;-0,027711209;0,028967923;-0,022352629;0,028265291;-8,61894E-05;0,021129629;0,039013397;-0,010562652;0,029018284;-0,001541636;-0,007493567;0,006916788;-0,015177598;0,01039147;-0,011228534;0,027771913;-0,01565371;-0,01059988;0,015148168;0,004752964;-0,003564336;1;-0,023442598;-0,016743798;0,008585306;0,002150933;0,004940602;0,010635612;0,052597517;-0,017349627;0,050053643;-0,024188776;0,004973946;0,012456323;
RightScapula_protraction;-0,066392877;-0,35437346;0,032097614;-0,280114094;-0,090156852;0,118588185;0,343423305;0,211537815;-0,126128104;-0,402867537;0,128574607;0,137095022;-0,090702417;0,271661229;0,251826457;0,133859735;0,027661057;-0,064590843;-0,215250252;0,028957984;-0,151835438;-0,274910609;-0,378891007;0,054548204;0,110012503;-0,451303302;-0,232879442;0,395731524;-0,52691748;-0,046709332;-0,242826213;0,489256595;-0,310042785;0,53824386;-0,300858727;-0,296109774;-0,001802563;-0,076900319;-0,023442598;1;-0,326667296;0,509313069;0,493923224;-0,400876929;-0,235315502;-0,29463191;0,502609931;-0,168321968;0,487972169;-0,575404015;0,35088068;
RightScapula_medial_rotation;-0,021774001;-0,322764983;0,128603692;0,523921762;-0,552824463;-0,078346023;-0,348800548;-0,074536306;0,056154322;0,355232127;0,275174288;-0,005245317;0,094507059;-0,041290846;-0,666060454;-0,144504798;0,065744461;0,131292046;0,224640502;-0,260312911;0,475571341;-0,111939504;-0,152195405;-0,240319138;-0,14497539;0,326955889;-0,480407094;0,224606718;0,623451385;-0,143712285;0,293269329;-0,476698899;0,335778899;-0,57963415;0,070436996;0,514576078;-0,010707607;0,017189927;-0,016743798;-0,326667296;1;-0,168665632;0,03560545;0,699846305;-0,333428986;0,136742073;-0,437036989;0,015588799;-0,551801429;0,390062573;0,061045126;
RightScapula_posterior_tilt;0,083651966;-0,035107756;-0,272396874;0,216076947;0,007896195;0,091627812;-0,160807077;-0,29767023;0,248457234;-0,029270673;0,012045653;-0,173885319;0,239294067;-0,199897432;-0,016710536;-0,233752482;-0,185138517;0,07834838;0,172400292;0,054318988;0,122211846;-0,696876772;0,030957387;-0,372971596;-0,349432188;0,022176418;-0,612844663;0,739746032;-0,182521699;-0,355528173;-0,011808751;0,203756295;-0,123165715;0,150352238;-0,579961235;-0,066783827;0,011684664;0,062317565;0,008585306;0,509313069;-0,168665632;1;0,73663888;-0,023387097;-0,227933433;-0,146440705;0,187071938;-0,254063234;0,046800535;-0,489667923;0,304231163;
RightShoulder_flexion;-0,012594024;0,131117458;-0,171614348;0,308231625;0,068714848;-0,104876634;-0,190166519;-0,14132126;0,104121142;-0,005312307;0,016471283;-0,116149503;0,178523206;-0,202304249;-0,033554423;-0,139245681;-0,034213819;-0,030236282;0,102357695;0,137238907;0,030608902;-0,538233199;0,162369953;-0,227140042;-0,597890013;0,318460109;-0,416691056;0,92919652;0,012145247;-0,533914281;-0,037763526;0,219813922;-0,207553996;0,17725192;-0,755485135;0,140507694;-0,010645748;0,039923654;0,002150933;0,493923224;0,03560545;0,73663888;1;0,358728556;-0,33496016;0,0250885;0,121926424;-0,25090504;-0,060836071;-0,629549581;0,20555961;
RightShoulder_abduction;0,180274408;0,282435395;-0,084593925;0,678853404;-0,141219727;-0,117054568;-0,561309114;-0,290243782;0,209363859;0,472558015;0,197921057;-0,290089935;0,445206809;-0,537660637;-0,509453362;-0,457158185;-0,19055417;0,260193148;0,415948706;0,108382848;0,376335696;-0,32403212;0,439470985;-0,160848622;-0,635855178;0,838827449;-0,296114388;0,433937465;0,84743802;-0,532344846;0,286087325;-0,557427441;0,226903927;-0,627041899;-0,195194838;0,725376161;-0,025228605;0,106956752;0,004940602;-0,400876929;0,699846305;-0,023387097;0,358728556;1;-0,43336349;0,394796518;-0,634585838;0,034890833;-0,773223337;0,264297639;0,082906942;
RightShoulder_external_rotation;-0,277017741;0,090569914;0,194339029;-0,405406287;0,39622671;0,039408824;0,318657528;0,242474861;-0,197825759;-0,302327369;-0,212719956;0,120612366;-0,52375892;0,393614353;0,507936342;0,523561024;0,321237721;-0,316535719;-0,24638785;-0,123975507;-0,505127325;0,553494545;-0,191915945;0,26227276;0,488115415;-0,359474477;0,359737038;-0,38232189;-0,549647489;0,76215348;-0,361377331;0,648844175;-0,215212878;0,5728819;0,009044939;-0,674869859;0,000720122;-0,100806544;0,010635612;-0,235315502;-0,333428986;-0,227933433;-0,33496016;-0,43336349;1;-0,204531032;0,640883807;-0,011244573;0,552550262;-0,321461727;-0,496987951;
RightElbow_flexion;0,203110779;0,42097273;-0,062143922;0,343746555;0,285485153;0,041189285;-0,45398725;-0,367960229;0,255642585;0,32367581;-0,036955937;-0,322472985;0,175197929;-0,354892173;-0,094360915;-0,192998283;0,011586155;0,031758903;0,157802529;0,084525777;0,060233393;-0,001422007;0,31161512;0,182361342;-0,196536157;0,418535454;0,013431017;-0,066794035;0,372342968;-0,285583961;0,24159412;-0,373856359;0,188209654;-0,319025429;-0,052539222;0,340057701;0,001389249;0,140040196;0,052597517;-0,29463191;0,136742073;-0,146440705;0,0250885;0,394796518;-0,204531032;1;-0,462422414;0,817427075;-0,451379244;0,150338305;0,016417415;
RightElbow_abduction;-0,321782423;-0,280696157;0,234029874;-0,560750808;0,176736935;0,097306474;0,558014326;0,422650651;-0,310062207;-0,57207677;-0,061726466;0,295953032;-0,561798621;0,610816685;0,543853077;0,586268875;0,333053074;-0,347328899;-0,38870302;-0,162755155;-0,504353078;0,285612956;-0,48741021;0,178824606;0,517318648;-0,67021328;0,122758926;0,033799775;-0,860381297;0,649880049;-0,478967178;0,969035121;-0,388266885;0,90784361;-0,239373771;-0,805801971;0,000553264;-0,158680699;-0,017349627;0,502609931;-0,437036989;0,187071938;0,121926424;-0,634585838;0,640883807;-0,462422414;1;-0,181910821;0,886991312;-0,71518037;-0,28668128;
RightElbow_pronation;0,111078516;0,214416714;0,082021726;0,038227451;0,282209661;0,175956109;-0,188707025;-0,201343938;0,145624127;0,13768697;-0,047623305;-0,194009485;-0,020038959;-0,092183925;0,04615167;-0,004008888;0,086451144;-0,044402917;0,010101908;-0,062648377;-0,028656302;0,234763025;0,011769069;0,348993616;0,238593248;0,007753229;0,061668335;-0,350527646;0,069361512;0,077274198;0,004126542;-0,143089626;0,1147489;-0,102935278;0,236220455;0,064340401;0,010379738;0,096535856;0,050053643;-0,168321968;0,015588799;-0,254063234;-0,25090504;0,034890833;-0,011244573;0,817427075;-0,181910821;1;-0,151636615;0,185039159;0,010634392;
RightWrist_flexion;-0,309370053;-0,274696658;0,188689927;-0,66722709;0,203530051;0,111048399;0,606756892;0,458574748;-0,338547012;-0,564274657;-0,176937634;0,311777874;-0,583295073;0,665217633;0,594752255;0,605154488;0,324944352;-0,349848091;-0,422307087;-0,195549836;-0,532054879;0,369473728;-0,461732109;0,182585202;0,560873137;-0,760757132;0,275972883;-0,167682839;-0,873383169;0,599223989;-0,440189298;0,841529649;-0,399198478;0,901278118;-0,041576921;-0,800687342;-0,005954428;-0,144564981;-0,024188776;0,487972169;-0,551801429;0,046800535;-0,060836071;-0,773223337;0,552550262;-0,451379244;0,886991312;-0,151636615;1;-0,562867691;-0,304895926;
RightWrist_abduction;0,246838236;-0,023397185;-0,043751381;0,224177717;-0,323542904;0,037926083;-0,23461971;-0,186344508;0,15631451;0,377782526;0,142307449;-0,11497948;0,350110924;-0,304571303;-0,483324661;-0,398215672;-0,302610374;0,355452466;0,273603056;-0,037034826;0,466235829;0,017737029;0,154673656;-0,045948402;0,012740744;0,238645061;0,021548865;-0,489610472;0,623334303;-0,136673813;0,358384021;-0,788960611;0,469397706;-0,76572566;0,671878722;0,558812141;0,004229179;0,082656026;0,004973946;-0,575404015;0,390062573;-0,489667923;-0,629549581;0,264297639;-0,321461727;0,150338305;-0,71518037;0,185039159;-0,562867691;1;0,223523882;
RightWrist_pronation;0,115501449;-0,09033754;-0,134919183;0,274054471;-0,203605875;0,100182711;-0,199440357;-0,246656153;0,214135359;0,167487674;0,178045858;-0,205297133;0,320367408;-0,270645725;-0,307139279;-0,322219423;-0,236427083;0,230164912;0,167680751;0,07327615;0,418519173;-0,434718916;-0,060680079;-0,033062476;-0,178405484;0,09877117;-0,343993258;0,169477014;0,154534659;-0,406598787;0,147134983;-0,296749987;0,141853283;-0,270845035;0,003632833;0,423987955;-0,005807007;0,03500203;0,012456323;0,35088068;0,061045126;0,304231163;0,20555961;0,082906942;-0,496987951;0,016417415;-0,28668128;0,010634392;-0,304895926;0,223523882;1;
